taxonomiste,taxonomist,Personne compétente en taxonomie ou taxinomie .
tchador,chador,"Pièce de tissu ouverte sur le devant , portée traditionnellement par les femmes iraniennes et dans quelques pays d Asie centrale , tenue en place avec les mains , les dents , ou une pince ."
technocratique,technocratic,Relatif à un technocrate ou à la technocratie .
tectite,tektite,Fragment de roches fondues et expulsées en dehors du cratère lors de l impact d une météorite .
teinte,tint,Nuance de couleur .
teinte,tint,Apparence légère .
temporairement,temporarily,Pour un temps .
tendeur,tensioner,Nom de divers appareils servant à tendre
testostérone,testosterone,Hormone mâle sécrétée par les cellules de Leydig des testicules et un peu par les glandes surrénales et qui détermine l ’ apparition des caractères sexuels primaires et secondaires masculins .
thyroïdectomie,thyroidectomy,Ablation chirurgicale de la thyroïde .
théisme,theism,Toute doctrine philosophique qui reconnaît l ’ existence d ’ un Dieu personnel .
tibétologie,tibetology,"Étude des aspects apparentés au Tibet , y compris l ’ Histoire du Tibet , le bouddhisme tibétain , le langage tibétain , la politique et la collection d ’ articles de signification historique , culturelle et religieuse ."
timbrer,stamp,"Marquer d ’ un timbre un papier , pour qu ’ il puisse servir aux usages déterminés par la loi ."
timbrer,stamp,"Apposer un sur une lettre , un timbre de quittance sur un reçu ,"
timbrer,stamp,"Marquer une lettre du timbre d ’ un bureau de poste , qui fait connaître soit le lieu et le jour du départ , soit le jour de l ’ arrivée ."
timbrer,stamp,"Imprimer la marque d ’ une administration , d ’ une maison de commerce ; ."
timonerie,linkage,Assemblage mécanique de tringles
tipule,cranefly,"Cousin , insecte qui a l ’ apparence du moustique , mais qui est beaucoup plus gros et ne pique pas ."
tocard,bum,"Démodé , sans valeur , laid , de mauvais goût ."
tocard,bum,"Sans charme , sans attrait physique ou intellectuel ."
tocard,bum,Rival médiocre
tocard,bum,Cheval de course sans chance de victoire
toluène,toluene,"Composé aromatique de formule chimique brute 8 , écrite aussi 3 . Il est utilisé comme solvant industriel ."
topiaire,topiary,Art de la taille décorative
topiaire,topiary,Arbuste taillé en forme décorative
tordre,wind,"Tourner un corps long et flexible par ses deux extrémités en sens contraire , ou par l ’ une des deux , l ’ autre étant fixe ."
tordre,wind,"Déformer , rendre illogique ."
tordre,wind,Tourner un corps long et flexible par ses deux extrémités en sens contraire
tourmenter,torment,Faire souffrir quelque tourment de corps .
tourmenter,torment,"Faire souffrir des douleurs causées par la maladie , par une opération chirurgicale ou par quelque moindre accident ."
tourmenter,torment,"Donner de la peine , des tracas , du souci ."
tourmenter,torment,Importuner beaucoup ; harceler .
toxocarose,toxocariasis,Maladie infectieuse du chat et du chien causée par un ver .
toxoplasmose,toxoplasmosis,Maladie parasitaire
trachée,windpipe,"Tube délié , petit vaisseau des insectes et des plantes , formé d ’ un fil élastique contourné en spirale ."
trachée,windpipe,"Tuyau élastique qui , chez les vertébrés , permet transporter l ’ air entre le larynx et les bronches , aussi appelé ."
trachée,windpipe,organe de la respiration des vertébrés
traduisible,translatable,Qui peut se traduire dans une autre langue .
traduisible,translatable,Qui peut se traduire
transitif,transitive,"Se dit d ’ un verbe , ou d ’ un emploi d ’ un verbe , qui accepte ou attend un complément d ’ objet ."
transitif,transitive,<concept> direct si c ’ est un complément d ’ objet direct .
transitif,transitive,<concept> indirect si c ’ est un complément d ’ objet indirect .
transitif,transitive,Se dit d ’ une cause dont l ’ action s ’ exerce sur un objet étranger au sujet agissant .
trapézoïde,trapezoid,Sorte de trapèze déformé .
trapézoïde,trapezoid,"Un petit os de la deuxième rangée , dite rangée distale , du carpe ."
trapézoïde,trapezoid,Sorte de trapèze
travestissement,transvestism,Port de vêtements associés au genre opposé au sien .
travestissement,transvestism,Port de vêtements associés au sexe opposé
traîtrise,treachery,Acte de trahison .
trescheur,tressure,"Ligne intérieure qui ne touche pas les bords de l ’ écu , mais qui en suit le contour , de sorte que , lorsqu il est dans un écu en losange , il doit être aussi en losange ."
trichinose,trichinosis,Maladie occasionnée par les .
trijumeau,trigeminal,relatif au nerf crânien de la cinquième paire .
trochée,trochee,Pied formé d ’ une longue et d ’ une brève .
trochée,trochee,Élément du vers
trouer,hole,"Percer , faire un trou ."
trouer,hole,Commettre une erreur défensive humiliante dans un match de sport collectif .
trucage,fakery,"Action de truquer ou résultat de cette action , falsification ."
trucage,fakery,Terme presque d ’ argot désignant cette industrie borgne qui consiste à faire payer très cher à des amateurs passionnés pour l ’ antique des objets fabriqués la veille et savamment habillés d ’ un vernis d ’ ancienneté .
trucage,fakery,"Activité consistant à organiser les victoires des courses hippiques , ou des élections ."
truisme,truism,"Vérité trop manifeste , qu ’ il est superflu de vouloir démontrer et qui ne vaut même pas la peine d ’ être énoncée ."
trémolite,tremolite,"espèce minérale du groupe des silicates sous groupe des de la famille des amphiboles , de formule idéale Ca 2 Mg 5 2 ."
trépan,trepan,Instrument à percer les roches dans les forages
trépan,trepan,Instrument avec lequel on perce le crâne
tunnelier,mole,"Engins Engin de génie civil servant à creuser des tunnels , travaillant en continu et à pleine section ."
tunnelier,mole,Ouvrier chargé de creuser des tunnels .
tâcher,try,Faire des efforts pour venir à bout de quelque chose .
tâcher,try,plus rare Travailler à une tâche .
tâcher,try,Viser à . — usage Il s ’ emploie alors avec la préposition à ou l ’ équivalent .
tégument,integument,Tissu organique qui recouvre le corps des animaux .
tégument,integument,Enveloppe de la graine .
télencéphale,telencephalon,Ensemble constitué par les hémisphères cérébraux et des structures associées .
télex,telex,"Système de communication qui remplaçait , partiellement , le télégraphe en morse et qui a été largement supplanté par le fax et , totalement , par la messagerie électronique ."
télex,telex,Message reçu par ce moyen .
télémarketing,telemarketing,Utilisation des techniques et des moyens de télécommunication au service de la mercatique .
télémétrie,telemetry,Art de mesurer les distances .
télépathie,telepathy,"Faculté de sentir à distance , ."
télépathie,telepathy,"Correspondance de pensée , de sentiments entre deux personnes éloignées ."
téléphoner,telephone,"Transmettre , communiquer par téléphone ."
téléphoner,telephone,Communiquer par téléphone
télétravail,telework,Travail à distance
ténacité,tenacity,"Caractère de ce qui est tenace , de ce qui tient fortement ."
ténacité,tenacity,"Propriété qu ’ ont certains corps de soutenir une traction , une pression considérable sans s ’ allonger , sans se rompre ."
ténacité,tenacity,"Capacité d un matériau à encaisser l énergie d un choc , d une contrainte , en résistant à la fissuration ."
ténacité,tenacity,"Attachement invariable à une idée , à un projet ,"
ténu,tenuous,"Qui est très délié , mince , étroit , de peu de consistance , très fin ."
térébinthe,terebinth,"Arbuste résineux au bois dur , à feuilles imparipennées caduques , à petites fleurs en grappes serrées , dont les petits fruits sont blancs , puis roses , rouges et enfin bruns ."
tétralemme,tetralemma,Extension la notion du dilemme à un choix entre quatre issues .
tétrarchie,tetrarchy,État gouverné par un tétrarque .
tétrarchie,tetrarchy,Association de deux augustes et de deux césars pour gouverner l ’ empire à la fin du IVe siècle .
tétée,en,Action de téter .
ulcère,sore,"Ulcération persistante , chronique . Plaie ancienne et ne tendant pas à particulier Une telle plaie à l estomac ."
ulcère,sore,Source de problèmes sociaux .
ulcère,sore,Blessure morale .
unaire,unary,Qui n ’ a qu ’ un seul opérande .
unaire,unary,Qui n ’ a qu ’ une seule variable d entrée .
unaire,unary,Système de numération
unanimement,unanimously,"D ’ une commune voix , d ’ un commun sentiment ."
unanimisme,unanimism,"Doctrine littéraire conçue au début du XXème siècle par Jules Romains , selon laquelle l ’ écrivain doit exprimer la vie collective des groupes humains et ne dépeindre l ’ individu que pris dans ses rapports sociaux ."
unanimisme,unanimism,Tendance au consensus .
uniformément,evenly,D ’ une manière uniforme .
uniformément,evenly,Toujours égal .
unipersonnel,unipersonal,"Se dit des verbes qui n ’ ont qu ’ une personne , impersonnel ."
unipersonnel,unipersonal,Se dit d ’ une entreprise qui ne comporte qu ’ une seule personne .
universellement,comprehensively,D ’ une manière universelle .
universellement,comprehensively,"En embrassant un genre , une classe ou toute chose ."
uranien,uranian,relatif à l ’ uranium
uranien,uranian,relatif à Uranus
ursidé,ursid,"Mammifère plantigrade de l ’ ordre des carnivores , dont le type est l ’ ours ."
ursidé,ursid,p Famille comprenant les ours et les grands pandas .
utilitarisme,utilitarianism,"Doctrine qui consiste à ramener la notion du bien à celle de l ’ utilité , à faire de l ’ intérêt le principe du droit et de la morale ."
utilitarisme,utilitarianism,par ext Action politique inspirée par l ’ utilitarisme .
utricule,utricle,Partie du tissu cellulaire des végétaux .
utricule,utricle,"Sorte de petite outre pleine d ’ air , servant à soutenir dans l ’ eau les feuilles et les racines de quelques plantes aquatiques ."
utricule,utricle,Saccule recouvert de cils qui se situe dans l ’ oreille interne et qui joue un rôle dans le maintien de l ’ équilibre .
utérin,uterine,par ext Qui se rapporte à la période prénatale .
utérin,uterine,"Qui est né de même mère , mais non de même père ."
vaciller,vacillate,Chanceler ; trembler ; n ’ être pas bien ferme .
vaciller,vacillate,Être incertain ou irrésolu ; varier .
vaillamment,valiantly,D ’ une manière vaillante ; avec vaillance .
vasectomie,vasectomy,"Section des canaux déférents ayant pour but de rendre stérile un homme , les spermatozoïdes ne pouvant plus être transportés des testicules à l urètre ."
vectoriel,vector,Relatif aux vecteurs .
vectoriel,vector,"Qui n ’ est pas défini par des pixels , mais par une liste de points reliés entre eux par des droites ."
vectoriel,vector,Qualifie une infection parasite transmise par un vecteur .
verbaliser,fine,Énoncer des raisons ou des faits pour les faire mettre dans un .
verbaliser,fine,Dresser un .
verbaliser,fine,Exprimer sous forme de mots .
verbaliser,fine,Faire de grands discours inutiles et qui n ’ aboutissent à rien .
victorieusement,triumphantly,"D ’ une manière victorieuse , avec un très grand avantage ."
vieilli,aged,Qui a pris un coup de vieux .
vieilli,aged,"Qui est devenu suranné , qui date d ’ une autre époque ."
vieilli,aged,"( Figuré ) Qui est devenu suranné , qui date d ’ une autre époque ."
virement,transfer,Action de virer .
virement,transfer,"Transport d ’ une somme d ’ un compte à un autre , d ’ un chapitre de budget à un autre ."
virement,transfer,transport d une somme
vièle,vielle,"Instrument de musique à cordes frottées et à archet , la vièle était la fidèle compagne des troubadours et des trouvères ."
volcanologie,volcanology,Science qui étudie les phénomènes volcaniques .
