la,la,syllable used in solfège to represent the sixth note of a major scale
propriety,décence,A characteristic ; an attribute . c .
propriety,décence,A piece of land owned by someone ; someone s from 15th c .
propriety,décence,"More generally , something owned by someone ; a possession . 15th-18th c ."
prosthesis,prothèse,"An artificial replacement for a body part , either internal or external ."
prosthesis,prothèse,artificial replacement for a body part
proteomics,protéomique,The branch of molecular biology that studies the set of proteins expressed by the genome of an organism .
proteomics,protéomique,branch of molecular biology
refectory,réfectoire,dining-hall
regolith,régolithe,"The layer of loose rock , dust , sand , and soil , resting on the bedrock , that constitutes the surface layer of most dry land on Earth , the Moon , and other large solid aggregated celestial objects . Submarine regolith also exists ."
regolith,régolithe,layer of loose rock that constitutes the surface of most land
regressive,régressif,"That tends to return , revert or regress ."
regressive,régressif,Whose rate decreases as the amount increases .
regressive,régressif,"that tends to return , revert , or regress"
reinforce,renforcer,to emphasize or review
reinforce,renforcer,to strengthen by addition
resuscitate,ressusciter,"To restore consciousness , vigor , or life to ."
resuscitate,ressusciter,To regain consciousness .
resuscitate,ressusciter,To restore consciousness
retort,rétorquer,"A sharp or witty reply , or one which turns an argument against its originator ; a comeback ."
retort,rétorquer,To say something sharp or witty in answer to a remark or accusation .
retort,rétorquer,"To make a remark which reverses an argument upon its originator ; to return , as an argument , accusation , censure , or incivility ."
retort,rétorquer,To bend or curve back .
retrovirus,rétrovirus,virus with a genome consisting of RNA
rigorous,rigoureux,"Showing , causing , or favoring rigour ; scrupulously accurate or strict ; thorough ."
rigorous,rigoureux,"showing , causing or favoring rigor"
rigorous,rigoureux,severe ; intense
salesperson,vendeur,salesman or saleswoman
scanlation,scanlation,"The process of scanning and translating foreign language comics into the translator s language , for free distribution over the Internet ."
scanlation,scanlation,"a comic that has been scanned , translated , and with translation overlaid onto the original text to produce a second language version of the comic ; a comic"
scruple,scrupule,"A weight of twenty grains or one third of a dram , in England about 1.3 grams ."
scruple,scrupule,"Hence , a very small quantity ; a particle ."
scruple,scrupule,A doubt or uncertainty concerning a matter of fact ; intellectual perplexity .
scruple,scrupule,"Hesitation to act from the difficulty of determining what is right or expedient ; doubt , hesitation or unwillingness due to motives of conscience ."
secluded,isolé,"Hidden , isolated , remote ."
secluded,isolé,"in seclusion , isolated , remote"
seductress,séductrice,woman who seduces
sexist,sexiste,unfairly against one sex in favour of the other
sharpness,tranchant,the cutting ability of an edge ; keenness
sharpness,tranchant,the fineness of the point a pointed object
sharpness,tranchant,The product or result of being sharp .
sharpness,tranchant,pungency or acidity
sheqel,shekel,A currency unit of both ancient and modern Israel .
sheqel,shekel,currency unit in Israel
shortening,raccourcissement,"Solid fat , such as margarine , lard or butter , used to make shortcrust pastry ."
silverware,argenterie,"( US ) knives , forks and spoons"
skedaddle,déguerpir,To move or run away quickly .
skedaddle,déguerpir,move or run away quickly
spermatogenesis,spermatogenèse,process of sperm production in the testes
squish,écraser,"To squeeze , compress , or crush"
stabilizer,stabilisateur,substance added to something in order to stabilize it
stereotomy,stéréotomie,cutting or dissection of solids
subatomic,subatomique,relating to particles that are smaller than an atom
submissive,soumis,Meekly obedient or passive .
submissive,soumis,meekly obedient or passive
superego,surmoi,part of the mind
supernumerary,surnuméraire,"Somebody who works in a group , association or public office , without forming part of the regular staff ; those distinguished from numerary ."
supernumerary,surnuméraire,An extra or walk-on in a film or play ; .
supernumerary,surnuméraire,An animal which has not formed a pair bond and is therefore single .
supernumerary,surnuméraire,Extra ; beyond the standard or prescribed amount or number .
syllabic,syllabique,"Of , relating to , or consisting of a syllable or syllables ."
syllabic,syllabique,Pronounced with every syllable distinct .
syllabic,syllabique,"Designating a sound that is or can be the most sonorant segment of a syllable , as a vowel or a resonant . In the word riddle , the two syllabic sounds are and ."
syllabic,syllabique,"Of , or being a form of verse , based on the number of syllables in a line rather than on the arrangement of accents or quantities ."
symbology,symbologie,study of symbols
synchronize,synchroniser,cause two events to have coordinated timing
tamper,trafiquer,alter by making unauthorized changes
tarnish,ternir,to oxidize or discolor due to oxidation
tessellation,pavage,The property or fact of tessellating .
tessellation,pavage,A tiling pattern with no gaps ; the result of tessellating an area or plane .
tetrahedral,tétraédrique,pertaining to a tetrahedron
thinkable,pensable,able to be thought or imagined ; conceivable ; feasible
tireless,inlassable,"Indefatigable , untiring and not yielding to fatigue"
tireless,inlassable,Without a tire ; .
tireless,inlassable,indefatigable
transfinite,transfini,Feminine plural form of
transfinite,transfini,beyond finite
trapezium,trapèze,A four-sided polygon with two sides parallel
trapezium,trapèze,A four-sided polygon with no parallel sides and no sides equal ; a simple convex irregular quadrilateral .
trapezium,trapèze,The <concept> bone of the wrist .
trapezium,trapèze,"A region on the ventral side of the brain , either just back of the pons Varolii , or , as in man , covered by the posterior extension of its transverse fibers ."
trifling,futile,"Trivial , or of little importance ."
trifling,futile,Idle or frivolous .
trifling,futile,"Of suspicious character , typically secretive or deceitful ; shady ."
trombonist,tromboniste,A person who plays the trombone .
trombonist,tromboniste,person who plays the trombone
typically,typiquement,in a typical manner
typically,typiquement,in an expected or customary manner
uncompromising,carré,inflexible and unwilling to negotiate or make concessions
underline,souligner,to emphasise or stress something
unfit,inapte,not fit ; not having the correct requirements
unload,décharger,To remove the load or cargo from .
unload,décharger,"To remove from a vehicle , etc ."
unload,décharger,To deposit one s load or cargo .
unload,décharger,To give vent to or express .
uracil,uracile,"One of the bases of RNA , pairing with adenine ."
uracil,uracile,organic compound <concept> one of the bases of RNA
uracil,uracile,one of the bases of RNA
usurer,usurier,"A person who loans money to others and charges interest , particularly at an illegal , exorbitant , or unfair rate ."
usurer,usurier,one who loans money at exorbitant interest rates
utilitarianism,utilitarisme,the theory of the & quot ; greatest happiness for the greatest number of people & quot ;
uvula,luette,"The fleshy appendage that hangs from the back of the palate , that closes the nasopharynx during swallowing ."
uvula,luette,"The slight elevation in the mucous membrane immediately behind the internal urethral orifice of the urinary bladder , caused by the middle lobe of the prostate ."
uvula,luette,An object so suspended inside a bell that it may hit the bell and cause it to ring ; a clapper .
uvula,luette,anatomy <concept> appendage that hangs from the palate
verbose,verbeux,"Abounding in words , containing more words than necessary ; long-winded ."
verbose,verbeux,Producing unusually detailed output for diagnostic purposes .
verbose,verbeux,abounding in words
versatility,polyvalent,the property of being versatile or having many different abilities ; flexibility
versed,versé,knowledgeable or skilled
